Address, zip1, rent, beds, baths, sqft, NA, NA1, NA2,0,1,2,3,4,5,6,7
"1122 Avenida Amantea, La Jolla, CA 92037",92037,9950.0,4,2.5,2084,,Alta Vista,https://www.altavistaproperties.net/listings/detail/a0c8a0d5-60bf-4ee2-b615-1def216cf037,0,"1122 avenida amantea, la jolla, CA, 92037",Match,Exact,"1122 AVE AMANTEA, LA JOLLA, CA, 92037","-117.26159730899997,32.818393480000054",195299223.0,L
"1970 Columbia St. #317, San Diego, CA 92101",92101,2650.0,1,1.0,600,,Alta Vista,https://www.altavistaproperties.net/listings/detail/e07ca157-5f78-491d-aacd-d969ae95cd7d,1,"1970 columbia st. #317, san diego, CA, 92101",Match,Exact,"1970 COLUMBIA ST, SAN DIEGO, CA, 92101","-117.16809338499996,32.72534419500005",195343309.0,L
"2610 Torrey Pines Rd, #C24, La Jolla, CA 92037",92037,3350.0,2,2.0,1204,,Alta Vista,https://www.altavistaproperties.net/listings/detail/6b5a9f09-974a-4466-884d-a75031eb2039,2,"2610 torrey pines rd, #c24, la jolla, CA, 92037",Match,Exact,"2610 TORREY PINES RD, LA JOLLA, CA, 92037","-117.24688955199997,32.85165384800007",195716837.0,L
"6231 Lakewood St, San Diego, CA 92122",92122,4950.0,3,2.5,2057,,Alta Vista,https://www.altavistaproperties.net/listings/detail/8d1b1d2b-eb29-4dcf-b7a3-d40e78121d9e,3,"6231 lakewood st, san diego, CA, 92122",Match,Exact,"6231 LAKEWOOD ST, SAN DIEGO, CA, 92122","-117.18701584599995,32.85154152400003",195304526.0,R
"4031 Porte de Palmas  - 85, San Diego, CA 92122",92122,4500.0,3,2.5,1721,,Alta Vista,https://www.altavistaproperties.net/listings/detail/de1e538d-c72b-45b6-aba7-a014b28d7e3c,4,"4031 porte de palmas - 85, san diego, CA, 92122",Match,Non_Exact,"4031 PORTE DE PALMAS, SAN DIEGO, CA, 92122","-117.22599426599999,32.86052193000006",195661398.0,R
"1039 Coast Blvd - Unit F, La Jolla, CA 92037",92037,8500.0,2,2.0,1390,,Alta Vista,https://www.altavistaproperties.net/listings/detail/7ce95489-fca3-4c80-a909-04be1fa10f6f,5,"1039 coast blvd - unit f, la jolla, CA, 92037",Match,Exact,"1039 COAST BLVD, LA JOLLA, CA, 92037","-117.27531877099995,32.84882459200003",195298216.0,R
"Application for Non-Vacant Property, Alta Vista Properties, Inc., San Diego, CA 92109",92109,,2,2.0,1390,,Alta Vista,https://www.altavistaproperties.net/listings/detail/0a5870ab-2bc5-462a-9120-a3326ce32fc5,6,"application for non-vacant property, alta vista properties, inc., san diego, CA, 92109",No_Match,,,,,
"10981 Sunny Mesa Road, San Diego, CA 92121",92121,4995.0,5,3.0,2527,,American Heritage Properties,https://www.renthomes.com/listings/detail/93c13a1b-61b3-4f21-b9a6-8a57798132f2,7,"10981 sunny mesa road, san diego, CA, 92121",Match,Exact,"10981 SUNNY MESA RD, SAN DIEGO, CA, 92121","-117.18518932699999,32.917659928000035",195673050.0,R
"10334-34 Scripps Poway Parkway, San Diego, CA 92131",92131,2895.0,2,2.0,1064,,American Heritage Properties,https://www.renthomes.com/listings/detail/f3de394a-1b8b-4b0e-87d7-880b8d8444f8,8,"10334-34 scripps poway parkway, san diego, CA, 92131",Match,Non_Exact,"10334 SCRIPPS POWAY PKWY, SAN DIEGO, CA, 92131","-117.10540003999995,32.93732100700004",627886084.0,L
"8423 Borealis Road, San Diego, CA 92126",92126,4000.0,5,3.0,2255,,American Heritage Properties,https://www.renthomes.com/listings/detail/abff2257-6451-4013-9b38-2cfd6baedb76,9,"8423 borealis road, san diego, CA, 92126",Match,Exact,"8423 BOREALIS RD, SAN DIEGO, CA, 92126","-117.14233869999998,32.92119387200006",195318725.0,R
